,Unnamed: 0,Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem
405,405,улица Первомайская,18,2021-06-12 07:02:20.864,"Проложить асфальт на территории, прилегающей к дому 18 по ул. Первомайская, а также на территорию подхода к подъездам 1, 2, 3",10405,"['пролагать', 'асфальт', 'территория', 'прилегать', 'дом', '18', 'ул', 'первомайский', 'также', 'территория', 'подход', 'подъезд', '1', '2', '3']"
406,406,улица П.В.Дементьева,3 корп. 2,2021-06-08 22:15:25.337,дороги построить,10406,"['дорога', 'построить']"
407,407,проспект Тракторостроителей,67,2021-06-10 01:36:57.423,"Повышение пенсий, льготы для пенсионеров и инвалидов, волонтерская помощь, снижение цен на лекарства",10407,"['повышение', 'пенсия', 'льгота', 'пенсионер', 'инвалид', 'волонтерский', 'помощь', 'снижение', 'цена', 'лекарство']"
408,408,улица Винокурова,61,2021-06-08 10:30:55.680,Нет тротуарной дорожки вдоль Винокурова 61,10408,"['тротуарный', 'дорожка', 'вдоль', 'винокуров', '61']"
409,409,улица Богдана Хмельницкого,37,2021-06-17 13:23:22.925,Отремонтировать 5 этаж. Установить детскую площадку.,10409,"['отремонтировать', '5', 'этаж', 'устанавливать', 'детский', 'площадка']"
410,410,улица Терешковой,14,2021-06-10 14:26:35.465,"НДС общедомовой, нет капитального ремонта, в 59 кв вызвать участкового милиционера, проживают аморальные люди в большом количестве. ",10410,"['ндс', 'общедомовой', 'капитальный', 'ремонт', '59', 'кв', 'вызывать', 'участковый', 'милиционер', 'проживать', 'аморальный', 'человек', 'большой', 'количество']"
411,411,бульвар Приволжский,4 корп. 1,2021-06-07 17:00:33.572,"В СЗР нет нормальной детской поликлиники. Педиатры находятсяв одном здании, сдавать анализы нужно идти в другое место, а стационары вообще в других районах. Сделайте все в одном здании.",10411,"['СЗР', 'нормальный', 'детский', 'поликлиника', 'педиатр', 'находятсява', 'здание', 'сдавать', 'анализ', 'нужно', 'идти', 'место', 'стационар', 'вообще', 'район', 'сделать', 'здание']"
412,412,проспект Ленина,56,2021-06-13 20:12:41.889,"освещения не хватает

благоустроить детскую площадку

спортивные снаряды поставить ",10412,"['освещение', 'хватать', 'благоустраивать', 'детский', 'площадка', 'спортивный', 'снаряд', 'поставлять']"
413,413,улица Терешковой,14,2021-06-10 14:20:34.139,-,10413,[]
414,414,улица Эльменя,18,2021-06-04 21:22:05.359,"ковровыбивалка, детскую площадку",10414,"['ковровыбивалка', 'детский', 'площадка']"
415,415,улица Эльменя,18,2021-06-04 21:25:16.497,ковровыбивалку,10415,['ковровыбивалка']
416,416,улица Константина Иванова,38,2021-06-04 19:30:08.254,"Снести дом, и расселить в благоустроенные квартиры",10416,"['снести', 'дом', 'расселять', 'благоустроенный', 'квартира']"
417,417,улица Болгарстроя,1 корп. 1,2021-06-05 20:21:47.844,Парковочные места. Построить новую школу.,10417,"['парковочный', 'место', 'построить', 'новый', 'школа']"
418,418,улица Эльгера,8,2021-06-12 10:43:47.381,"Детская площадка, установить у 3 подъезда мусорные контейнеры",10418,"['детский', 'площадка', 'устанавливать', '3', 'подъезд', 'мусорный', 'контейнер']"
419,419,проезд Северный,20,2021-06-06 13:36:44.909,Отремонтировать дорогу п.Сосновка - п.Северный,10419,"['отремонтировать', 'дорога', 'п', 'сосновка', ' - ', 'п', 'северный']"
420,420,улица Маршака,6 корп. 1,2021-06-08 20:08:34.707,"Благоустроить  детскую площадку ,детям негде играть. Спортивные сооружения для детей и взрослых",10420,"['благоустраивать', 'детский', 'площадка', ' ,', 'ребенок', 'негде', 'играть', 'спортивный', 'сооружение', 'ребенок', 'взрослый']"
421,421,бульвар Зеленый,3а корп. 1,2021-06-06 10:52:56.983,Парковка для машин,10421,"['парковка', 'машина']"
422,422,улица Т.Кривова,3,2021-06-12 21:18:58.931,"1. Хотелось бы благоустройство двора по ул. Кривова 3 (нормальную стоянку для машин) хорошую детскую площадку и спортивную для взрослых.
2. Было бы очень хорошо, если бы чаще патрулировали наш двор (очень много пьющих людей) 
3. И не плохо было бы закрыть всякие алкогольные заведения через дорогу.",10422,"['1', 'хотеться', 'благоустройство', 'двор', 'ул', 'кривов', '3', ' (', 'нормальный', 'стоянка', 'машина', ') ', 'хороший', 'детский', 'площадка', 'спортивный', 'взрослый', '2', 'очень', 'часто', 'патрулировать', 'наш', 'двор', ' (', 'очень', 'пьющий', 'человек', ') \n', '3', 'плохо', 'закрывать', 'всякий', 'алкогольный', 'заведение', 'дорога']"
423,423,улица 50 лет Октября,16,2021-06-08 11:33:09.258,"Ремонт дорог
Благоустройство территории
Снижение цен на продукты",10423,"['ремонт', 'дорогой', 'благоустройство', 'территория', 'снижение', 'цена', 'продукт']"
424,424,улица 50 лет Октября,16,2021-06-08 11:44:17.647,Благоустройство двора,10424,"['благоустройство', 'двор']"
425,425,переулок Молодежный,1 корп. 1,2021-06-07 02:06:40.541,"Детская  и спортивная площадка
",10425,"['детский', 'спортивный', 'площадка']"
426,426,бульвар Речной,4 корп. 1,2021-06-12 21:56:12.232,Обустроить городской пляж. Обустроить набережную р.Волга,10426,"['обустраивать', 'городской', 'пляж', 'обустраивать', 'набережная', 'р', 'волга']"
427,427,улица 50 лет Октября,15 корп. 1,2021-06-05 12:57:51.937,"Благоустройство двора
Детская площадка",10427,"['благоустройство', 'двор', 'детский', 'площадка']"
428,428,улица Коммунистическая,24,2021-06-09 11:57:18.500,-,10428,[]
429,429,проспект Мира,38,2021-06-06 18:52:01.162,"Парковка
Ремонт в подъезде
Благоустройство территории",10429,"['парковка', 'ремонт', 'подъезд', 'благоустройство', 'территория']"
430,430,улица Винокурова,99,2021-06-05 16:58:17.961,"Зона за аптекой ""Апрель"" благоустроить",10430,"['зона', 'аптека', ' ""', 'апрель', '"" ', 'благоустраивать']"
431,431,улица Богдана Хмельницкого,127 корп. 1,2021-06-07 22:33:31.736,"школа,ФОК, бассейн, резиновое покрытие",10431,"['школа', 'фок', 'бассейн', 'резиновый', 'покрытие']"
432,432,улица Мичмана Павлова,24,2021-06-12 22:28:42.272,За школьный бульвар и рощу гузовского. ,10432,"['школьный', 'бульвар', 'роща', 'гузовский']"
433,433,улица Тельмана,166А,2021-06-10 15:42:00.921,"ремонт дорог, поставить шлагбаум или перекрыть дорогу по Тельмана 166А",10433,"['ремонт', 'дорогой', 'поставлять', 'шлагбаум', 'перекрывать', 'дорога', 'тельман', '166А']"
434,434,улица Энгельса,46,2021-06-14 20:32:42.258,"строгий ремонт тротуара, особенно дом 46,48,52",10434,"['строгий', 'ремонт', 'тротуар', 'особенно', 'дом', '46', '48', '52']"
435,435,улица Советская,25,2021-06-05 20:19:28.277,Дорога у дома требует ремонта(со стороны рощи),10435,"['дорога', 'дом', 'требовать', 'ремонт', '(', 'сторона', 'роща']"
436,436,улица Хузангая,30,2021-06-11 18:35:59.796,Ремонт дорог вокруг дома и у подъезда,10436,"['ремонт', 'дорогой', 'вокруг', 'дом', 'подъезд']"
437,437,улица Молодежная,11,2021-06-07 18:44:45.223,Обновить детскую площадку около дома,10437,"['обновлять', 'детский', 'площадка', 'около', 'дом']"
438,438,улица Терешковой,4,2021-06-09 22:40:59.952,-,10438,[]
439,439,проспект Тракторостроителей,45,2021-06-12 06:09:07.038,"Косметический ремонт дома, асфальтировать дорогу около подъезда, детскую площадку в мкр ""Лента""",10439,"['косметический', 'ремонт', 'дом', 'асфальтировать', 'дорога', 'около', 'подъезд', 'детский', 'площадка', 'мкр', ' ""', 'лента']"
440,440,улица Ардалиона Игнатьева,11/14,2021-06-04 16:04:23.559,"Повесить вывеску в сквере Ислюкова ""Выгул собак запрещен"".",10440,"['повесить', 'вывеска', 'сквер', 'ислюков', ' ""', 'выгул', 'собака', 'запрещать', '""']"
441,441,улица Макаренко,23,2021-06-10 17:20:06.153,Улучшить дорогу.,10441,"['улучшать', 'дорога']"
442,442,проспект 9-й Пятилетки,22,2021-06-12 21:13:04.170,"Дорога
Стройка",10442,"['дорога', 'стройка']"
443,443,улица Советская,75,2021-06-08 22:56:54.894,Пустой,10443,['пустой']
444,444,улица Советская,75,2021-06-05 12:24:00.789,"Поставить скамейку, урну",10444,"['поставлять', 'скамейка', 'урна']"
445,445,улица Советская,75,2021-06-05 13:32:12.698,"Отремонтировать дорогу, благоустроить детскую площадку",10445,"['отремонтировать', 'дорога', 'благоустраивать', 'детский', 'площадка']"
446,446,улица Лукина,4,2021-06-13 11:23:37.430,"- детская площадка 
- "" разгрузить двор"", очень нужна парковка",10446,"['- ', 'детский', 'площадка', ' \n', '- "" ', 'разгружать', 'двор', '"", ', 'очень', 'нужный', 'парковка']"
447,447,проспект Мира,29,2021-06-08 20:45:08.374,"улудшить освещение , увеличить парковку, срезать деревья, особено тополь",10447,"['улудшать', 'освещение', ' , ', 'увеличивать', 'парковка', 'срезать', 'дерево', 'особеный', 'тополь']"
448,448,улица 10 Пятилетки,46,2021-06-09 23:30:02.500,Благоустройство ул 10 пят-ки,10448,"['благоустройство', 'ул', '10', 'пята', '-', 'ки']"
449,449,улица Советская,75,2021-06-08 22:46:57.300,Пустой,10449,['пустой']
450,450,улица Ашмарина,122,2021-06-05 18:56:01.573,Благоустроить спортивную площадку.,10450,"['благоустраивать', 'спортивный', 'площадка']"
451,451,улица Ж.Крутовой,16,2021-06-06 21:31:52.604,Прошу организовать установку современной детской площадки около нашего дома. Детям негде гулять ,10451,"['просить', 'организовывать', 'установка', 'современный', 'детский', 'площадка', 'около', 'наш', 'дом', 'ребенок', 'негде', 'гулять']"
452,452,бульвар А.Миттова,14,2021-06-12 04:26:15.357,"Снести металлические гаражи
Обновить тротуарное покрытие по периметру дома, дорог
Объединение 2х мусорных баков
Вместо гаражей - стоянка для авто
Благоустройство детской площадки
Озеленение ",10452,"['снести', 'металлический', 'гараж', 'обновлять', 'тротуарный', 'покрытие', 'периметр', 'дом', 'дорога', 'объединение', '2х', 'мусорный', 'бак', 'вместо', 'гараж', ' - ', 'стоянка', 'авто', 'благоустройство', 'детский', 'площадка', 'озеленение']"
453,453,улица Кукшумская,11,2021-06-11 19:10:32.281,Я желаю чтобы улицы нашего города были чистыми .,10453,"['желать', 'улица', 'наш', 'город', 'чистый']"
454,454,проспект Тракторостроителей,5,2021-06-07 01:28:09.599,Ремонт подъезда,10454,"['ремонт', 'подъезд']"
455,455,улица Советская,61,2021-06-08 21:36:30.205,Плохой тротуар. Поставить скамейку возле подъезда,10455,"['плохой', 'тротуар', 'поставлять', 'скамейка', 'возле', 'подъезд']"
456,456,проспект Мира,37,2021-06-08 21:29:01.000,"сделать дорогу, тратуары по пр.Мира",10456,"['сделать', 'дорога', 'тратуар', 'пр', 'мир']"
457,457,улица Ивана Франко,8,2021-06-04 20:47:10.034,"Детская площадка
Обновить территорию для сушки белья и асфальт придомовой территории
",10457,"['детский', 'площадка', 'обновлять', 'территория', 'сушка', 'белье', 'асфальт', 'придомовый', 'территория']"
458,458,улица Афанасьева,9 корп. 1,2021-06-04 22:46:03.474,Сделать тротуар от школы №2 до дома ул. Афанасьева 9/1.,10458,"['сделать', 'тротуар', 'школа', '№', '2', 'дом', 'ул', 'афанасьев', '9', '/', '1']"
459,459,улица Энтузиастов,31,2021-06-07 12:23:21.445,В районе нет ТРЦ с кинотеатрами. Сходить вообще некуда,10459,"['район', 'трц', 'кинотеатр', 'сходить', 'вообще', 'некуда']"
460,460,улица Эльгера,28,2021-06-12 17:33:27.341,Обновить пешеходный переход перед магазином к дому Эльгера 28.,10460,"['обновлять', 'пешеходный', 'переход', 'магазин', 'дом', 'эльгер', '28']"
461,461,проспект Мира,68,2021-06-08 09:49:13.928,Заботиться о социальной защите населения. Создавать Гражданское правовое общество. Построить стоянку.,10461,"['заботиться', 'социальный', 'защита', 'население', 'создавать', 'гражданский', 'правовой', 'общество', 'построить', 'стоянка']"
462,462,проспект Мира,68,2021-06-08 09:52:08.601,"Срочно заменить лифт в подьезде, отремонтировать полы в подьезде. Установить во дворе лежачие полицейские.",10462,"['срочно', 'заменять', 'лифт', 'подьезде', 'отремонтировать', 'пол', 'подьезда', 'устанавливать', 'двор', 'лежачий', 'полицейский']"
463,463,проспект 9-й Пятилетки,22 корп. 2,2021-06-12 21:52:05.432,Стройка,10463,['стройка']
464,464,улица Афанасьева,19,2021-06-04 22:30:55.943,Организовать бесплатные кружки для младшего школьного возраста. Возможность получения физиолечения на участке ближайшей поликлиники.,10464,"['организовывать', 'бесплатный', 'кружка', 'младший', 'школьный', 'возраст', 'возможность', 'получение', 'физиолечение', 'участок', 'близкий', 'поликлиника']"
465,465,улица Молодежная,7,2021-06-07 18:28:16.590,Закрыть кафе по ул. Терешкова 6а,10465,"['закрывать', 'кафе', 'ул', 'терешкова', '6а']"
466,466,улица Кукшумская,7,2021-06-11 19:58:08.865,Нет парковочных мест. Приведите в порядок тротуары и газон.,10466,"['парковочный', 'место', 'приводить', 'порядок', 'тротуар', 'газон']"
467,467,проспект Тракторостроителей,73 корп. 1,2021-06-08 22:33:02.696,"Построить школу, чтобы дети могли учиться в этом районе и не получали отказа о зачислении в прикрепленные к дому школы",10467,"['построить', 'школа', 'ребенок', 'мочь', 'учиться', 'район', 'получать', 'отказ', 'зачисление', 'прикреплять', 'дом', 'школа']"
468,468,улица Лукина,4,2021-06-12 20:14:54.526,"- взрослую поликлинику
- школа",10468,"['- ', 'взрослый', 'поликлиника', '- ', 'школа']"
469,469,проезд Складской,14,2021-06-04 19:28:17.925,"Ремонт дорог
Освещение улиц",10469,"['ремонт', 'дорогой', 'освещение', 'улица']"
470,470,улица Эльменя,34,2021-06-04 22:40:39.678,благоустроить территорию Финской долины,10470,"['благоустраивать', 'территория', 'финский', 'долина']"
471,471,улица Мичмана Павлова,35,2021-06-15 14:54:30.125,Убрать лишнее мусорные баки (старые),10471,"['убирать', 'лишний', 'мусорный', 'бак', ' (', 'старый']"
472,472,улица Винокурова,6А,2021-06-14 19:37:31.408,"Обустройство Набережной, пляжа, Рощи",10472,"['обустройство', 'набережная', 'пляж', 'роща']"
473,473,улица Винокурова,6А,2021-06-14 19:36:23.002,"Обустройство Набережной, пляжа, Рощи",10473,"['обустройство', 'набережная', 'пляж', 'роща']"
474,474,бульвар Эгерский,7,2021-06-07 20:11:09.927,Поменять окна в подьезде №1 на ластиковые.,10474,"['поменять', 'окно', 'подьезда', '№', '1', 'ластиковый']"
475,475,улица Комсомольская,17,2021-06-14 21:11:26.006,Обновить детские площадки,10475,"['обновлять', 'детский', 'площадка']"
476,476,проспект Ленина,56,2021-06-13 18:51:59.288,"около подьезда поменять асвальт 
очень тяжело ходить родителями с колясками 

поставьте мусосорные кактелер",10476,"['около', 'подьезда', 'поменять', 'асвальт', ' \n', 'очень', 'тяжело', 'ходить', 'родитель', 'коляска', ' \n', 'поставлять', 'мусосорный', 'кактелер']"
477,477,проспект Тракторостроителей,35/19,2021-06-12 07:42:51.701,"Отремонтировать дорогу(большая яма), спилить высокое дерево",10477,"['отремонтировать', 'дорога', '(', 'большой', 'яма', '), ', 'спиливать', 'высокий', 'дерево']"
478,478,улица Коммунистическая,22,2021-06-07 19:08:51.488,"Посадить зелень вокруг дома.
Поставить камеры во дворе.
Провести ремонт в подъезде",10478,"['посадить', 'зелень', 'вокруг', 'дом', 'поставлять', 'камера', 'двор', 'проводить', 'ремонт', 'подъезд']"
479,479,улица Гражданская,70,2021-06-12 05:14:27.769,"Просим благоустроить нам район, чтобы были парки, тц, кинотеатр.
Спасибо",10479,"['просить', 'благоустраивать', 'район', 'парк', 'тц', 'кинотеатр', 'спасибо']"
480,480,улица Гражданская,70,2021-06-12 04:52:02.470,"Отремонтировать дворовую территорию, обустроить детскую площадку",10480,"['отремонтировать', 'дворовый', 'территория', 'обустраивать', 'детский', 'площадка']"
481,481,улица Бичурина,1,2021-06-05 22:53:26.719,Построить спортивную площадку. Открыть баню. Отремонтировать дорогу.Освещение.,10481,"['построить', 'спортивный', 'площадка', 'открывать', 'баня', 'отремонтировать', 'дорога', 'освещение']"
482,482,улица Лукина,3,2021-06-14 17:27:04.063,"Сквер бы доделать быстрей, дороги желают лучшего. Ремонт нужен",10482,"['сквер', 'доделывать', 'быстро', 'дорога', 'желать', 'хороший', 'ремонт', 'нужный']"
483,483,улица Богдана Хмельницкого,37,2021-06-17 13:26:12.392,Установить детскую площадку,10483,"['устанавливать', 'детский', 'площадка']"
484,484,улица Коллективная,5 корп. 1,2021-06-09 01:57:56.820,"Оградить детские площадки, усовершенствовать, добавить инвентарь",10484,"['ограждать', 'детский', 'площадка', 'усовершенствовать', 'добавлять', 'инвентарь']"
485,485,проспект Мира,88Б,2021-06-11 18:21:41.790,Установить защитный экран вдоль ж/д путей перед домом 88Б. Поменять бордюры вокруг дома 88Б на тротуарах. Заменить опасную железную горку.,10485,"['устанавливать', 'защитный', 'экран', 'вдоль', '/', 'д', 'путь', 'дом', '88Б', 'поменять', 'бордюр', 'вокруг', 'дом', '88Б', 'тротуар', 'заменять', 'опасный', 'железный', 'горка']"
486,486,улица Лукина,3,2021-06-13 13:14:41.551,Школа очень нужна. Оздоровительный центр. ,10486,"['школа', 'очень', 'нужный', 'оздоровительный', 'центр']"
487,487,проспект Мира,90,2021-06-09 11:14:01.804,Окна в подьезеде поменять по адресу пр.Мира д. 90,10487,"['окно', 'подьезеда', 'поменять', 'адрес', 'пр', 'мир', 'д', '90']"
488,488,улица Текстильщиков,12,2021-06-06 20:23:31.992,Капитальный ремонт в подъезде,10488,"['капитальный', 'ремонт', 'подъезд']"
489,489,проспект Мира,82,2021-06-08 22:12:37.481,Поменять лифт в доме. Установить пешеходный переход перед домом 82 как так часто гоняют машины.,10489,"['поменять', 'лифт', 'дом', 'устанавливать', 'пешеходный', 'переход', 'дом', '82', 'часто', 'гонять', 'машина']"
490,490,бульвар Эгерский,6 корп. 1,2021-06-06 21:58:08.628,Детская площадка,10490,"['детский', 'площадка']"
491,491,улица Энтузиастов,15,2021-06-10 16:19:45.687,"освещение около дет площадки, парковку, ремонт дорог около д.15,17 ул.Энтузиастов",10491,"['освещение', 'около', 'дет', 'площадка', 'парковка', 'ремонт', 'дорога', 'около', 'д', '15', '17', 'ул', 'энтузиаст']"
492,492,улица Энтузиастов,15,2021-07-06 13:09:16.628,"Сделайте пожалуйста освещение возле детской площадки, очень темно.
Отремонтировать дороги по ул.Энтузиастов  15,17 и сделать парковку.
",10492,"['сделать', 'пожалуйста', 'освещение', 'возле', 'детский', 'площадка', 'очень', 'темно', 'отремонтировать', 'дорога', 'ул', 'энтузиаст', '15', '17', 'сделать', 'парковка']"
493,493,улица И.П.Прокопьева,12,2021-06-08 23:03:01.339,"Сбербанк, продуктовый магазин рядом с домом",10493,"['сбербанк', 'продуктовый', 'магазин', 'рядом', 'дом']"
494,494,улица Советская,75,2021-06-05 13:30:20.230,"Поставить скамейку, современную детскую площадку, освещение",10494,"['поставлять', 'скамейка', 'современный', 'детский', 'площадка', 'освещение']"
495,495,улица Совхозная (п Лапсары),1 корп. 1,2021-06-10 12:27:42.895,Сделать тротуары около дома 1/1,10495,"['сделать', 'тротуар', 'около', 'дом', '1', '/', '1']"
496,496,улица Космонавта Николаева А.Г.,35,2021-06-05 11:02:45.195,"Тротуар установить
Асфальт установить возле подъездов",10496,"['тротуар', 'устанавливать', 'асфальт', 'устанавливать', 'возле', 'подъезд']"
497,497,улица Советская,36,2021-06-14 20:02:56.423,При въезде во двор на перекрестке нужно установить скоростной режим(лежачий полицейский),10497,"['въезд', 'двор', 'перекресток', 'нужно', 'устанавливать', 'скоростной', 'режим', '(', 'лежачий', 'полицейский']"
498,498,улица Альгешевская,29,2021-06-10 11:57:56.582,Отремонтировать дорогу по улице Альгешевская.,10498,"['отремонтировать', 'дорога', 'улица', 'альгешевская']"
499,499,улица Гражданская,68,2021-06-12 03:24:21.937,Необходимо установить детскую игровую площадку во дворе Гражд.66 и 68,10499,"['необходимо', 'устанавливать', 'детский', 'игровой', 'площадка', 'двор', 'гражда', '66', '68']"
500,500,проспект 9-й Пятилетки,17,2021-06-12 09:42:28.097,"Просьба заняться озеленением дворов.
Вопрос в оплате взносов на капитальный ремонт. У каждого дома должен быть свой бюджет.",10500,"['просьба', 'заниматься', 'озеленение', 'двор', 'вопрос', 'оплата', 'взнос', 'капитальный', 'ремонт', 'каждый', 'дом', 'должный', 'свой', 'бюджет']"
501,501,улица Терешковой,17,2021-06-12 09:06:19.611,Просим сделать детскую площадку перед домом Терешкова 17,10501,"['просить', 'сделать', 'детский', 'площадка', 'дом', 'терешкова', '17']"
502,502,бульвар Эгерский,30,2021-06-07 01:06:14.832,Повышение пенсий и зарплат,10502,"['повышение', 'пенсия', 'зарплата']"
503,503,бульвар Эгерский,30,2021-06-07 18:47:02.611,"Благоустройство территории
",10503,"['благоустройство', 'территория']"
504,504,улица Гражданская,131,2021-06-14 12:45:08.611,"Очень хочется предотвратить строительство дома в лесу на берегу Сугутки.
По улице Гражданской д.131 надо обустроить детскую площадку",10504,"['очень', 'хотеться', 'предотвращать', 'строительство', 'дом', 'лес', 'берег', 'сугуток', 'улица', 'гражданский', 'д', '131', 'обустраивать', 'детский', 'площадка']"
505,505,улица Ленинского Комсомола,76,2021-06-08 16:33:33.655,Обустроить детскую площадку и решить проблему с парковкой,10505,"['обустраивать', 'детский', 'площадка', 'решать', 'проблема', 'парковка']"
506,506,улица Советская,45,2021-06-08 21:32:38.609,Благоустройство двора,10506,"['благоустройство', 'двор']"
507,507,улица Кукшумская,9,2021-06-11 21:13:50.459,прошу асфальтировать тротуар по улице Кукшумской до ботанического сада,10507,"['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'ботанический', 'сад']"
508,508,улица Пирогова,4,2021-06-08 13:26:27.806,"На перекрестке ул.Ак.Крылова, ул.Заводская и ул.Пирогова нет действующего светофора. Это опасный участок дороги для пешеходов. Дети ходят в школу по этой дороге, это не безопасно. Примите меры. 
УК""Город"" безобразно исполняет свои обязанности. Не удается поменять УК, т.к. собственники некоторых квартир проживают далеко. С руководителями УК не получается никак связаться. В период пандемии, когда официально не начислялись пени за отстрочку выплат по платежам ком.услуг, данная компания игнорировала этот закон и начисляла пени. УК не исполняет свои обязанности никак. Примите меры!",10508,"['перекресток', 'ул', 'ак', 'крылов', 'ул', 'заводской', 'ул', 'пирогов', 'действующий', 'светофор', 'это', 'опасный', 'участок', 'дорога', 'пешеход', 'ребенок', 'ходить', 'школа', 'дорога', 'это', 'безопасный', 'принимать', 'мера', ' \n', 'ук', '""', 'город', '"" ', 'безобразно', 'исполнять', 'свой', 'обязанность', 'удаваться', 'поменять', 'ук', 'т', 'собственник', 'некоторый', 'квартира', 'проживать', 'далеко', 'руководитель', 'ук', 'получаться', 'никак', 'связываться', 'период', 'пандемия', 'официально', 'начисляться', 'пеня', 'отстрочка', 'выплата', 'платеж', 'услуга', 'данный', 'компания', 'игнорировать', 'закон', 'начислять', 'пеня', 'ук', 'исполнять', 'свой', 'обязанность', 'никак', 'принимать', 'мера', '!']"
509,509,улица Гражданская,72,2021-06-12 05:08:41.623,"Отремонтировать дорогу перед домом, детскую площадку",10509,"['отремонтировать', 'дорога', 'дом', 'детский', 'площадка']"
510,510,улица Гражданская,72,2021-06-12 05:24:47.950,Побольше парковочных мест,10510,"['парковочный', 'место']"
511,511,улица Совхозная (п Лапсары),19,2021-06-10 06:39:55.416,"Хотелось бы благоустройства дворовых площадок. 
Организовать место для выгула собак, чтобы собаки не гадили где попало.",10511,"['хотеться', 'благоустройство', 'дворовый', 'площадка', ' \n', 'организовывать', 'место', 'выгул', 'собака', 'собака', 'гадить', 'попадать']"
512,512,улица Правая Набережная Сугутки,7,2021-06-17 12:58:18.753,Заменить оборудование на футбольной и волейбольной площадке. ,10512,"['заменять', 'оборудование', 'футбольный', 'волейбольный', 'площадка']"
513,513,улица Харьковская,4,2021-06-04 23:32:05.826,"обустроить котлован, починить забор",10513,"['обустраивать', 'котлован', 'починять', 'забор']"
514,514,улица Харьковская,4,2021-06-04 23:36:24.972,"магазин, дорога, стоянка",10514,"['магазин', 'дорога', 'стоянка']"
515,515,улица Терешковой,8,2021-06-09 23:13:11.298,Капитальный ремонт,10515,"['капитальный', 'ремонт']"
516,516,улица Чернышевского,19 корп. 1,2021-06-07 22:47:14.227,Школа в Финской долине,10516,"['школа', 'финский', 'долина']"
517,517,улица Кадыкова,21,2021-06-07 23:00:06.132,Ремонт дома и дорог,10517,"['ремонт', 'дом', 'дорогой']"
518,518,проспект Мира,23А,2021-06-09 11:19:46.222,провести очное собрание с избератилями,10518,"['проводить', 'очный', 'собрание', 'избератиля']"
519,519,бульвар Речной,4 корп. 1,2021-06-12 21:42:25.369,"Благоустройство Набережной, Благоустройство сквера по ул.Молодежной",10519,"['благоустройство', 'набережная', 'благоустройство', 'сквер', 'ул', 'молодежный']"
520,520,улица Ашмарина,34А,2021-06-05 21:30:18.058,На Южном нужна женская консультация. Не хватает узких специалистов в детской больнице. Построить спортивные площадки.,10520,"['южный', 'нужный', 'женский', 'консультация', 'хватать', 'узкий', 'специалист', 'детский', 'больница', 'построить', 'спортивный', 'площадка']"
521,521,улица Пролетарская,5,2021-06-10 02:40:45.330,Обустроить детскую площадку ,10521,"['обустраивать', 'детский', 'площадка']"
522,522,улица Пролетарская,5,2021-06-10 02:43:55.730,"Установить подъездный пандус, оборудовать детскую площадку, песочницу",10522,"['устанавливать', 'подъездный', 'пандус', 'оборудовать', 'детский', 'площадка', 'песочница']"
523,523,улица Винокурова,57,2021-06-08 21:18:07.513,Долгое ______ воды,10523,"['долгий', ' ______ ', 'вода']"
524,524,улица Афанасьева,5,2021-06-05 12:02:58.234,Сделать тропинку для пешеходов.,10524,"['сделать', 'тропинка', 'пешеход']"
525,525,улица Спартака,15,2021-06-07 16:51:44.403,отремонтировать дорогу,10525,"['отремонтировать', 'дорога']"
526,526,улица Гузовского,16,2021-06-05 10:41:28.939,Запретить аборты.,10526,"['запрещать', 'аборт']"
527,527,проезд Энергетиков,7,2021-06-14 16:05:29.063,"Рассмотреть порядок оплаты педагогов и отношение к их труду, особенно со стороны родителей",10527,"['рассматривать', 'порядок', 'оплата', 'педагог', 'отношение', 'труд', 'особенно', 'сторона', 'родитель']"
528,528,улица Чернышевского,32,2021-06-08 12:14:14.266,"Перенести мусорные баки напротив дома
Облагородить территорию",10528,"['перенести', 'мусорный', 'бак', 'напротив', 'дом', 'облагораживать', 'территория']"
529,529,улица Ж.Крутовой,16,2021-06-06 21:32:15.518,Напротив дома (1 подъезд) несанкционированная автостоянка. Просим навести порядок по закону,10529,"['напротив', 'дом', ' (', '1', 'подъезд', ') ', 'несанкционированный', 'автостоянка', 'просить', 'навещать', 'порядок', 'закон']"
530,530,улица Гражданская,109,2021-06-11 11:59:21.937,Отремонтировать дорогу перед подъездом,10530,"['отремонтировать', 'дорога', 'подъезд']"
531,531,улица 10 Пятилетки,38,2021-06-09 23:07:07.381,Благоустройство 10 пят-ки ,10531,"['благоустройство', '10', 'пята', '-', 'ки']"
532,532,улица Молодежная,5,2021-06-07 20:04:43.074,Расширить стоянку для машин,10532,"['расширять', 'стоянка', 'машина']"
533,533,улица Гузовского,8,2021-06-12 21:51:55.466,"Веревка для белья, асфальт нужно сделать, весной не пройдешь",10533,"['веревка', 'белье', 'асфальт', 'нужно', 'сделать', 'весна', 'проходить']"
534,534,бульвар Зеленый,1а,2021-06-06 12:27:22.817,"Асфальт, парковка, детская площадка",10534,"['асфальт', 'парковка', 'детский', 'площадка']"
535,535,проспект Чебоксарский,37 корп. 1,2021-06-07 23:22:48.500,"Электронное табло на ост.Галкина, посадка елей",10535,"['электронный', 'табло', 'ост', 'галкин', 'посадка', 'ель']"
